name,recorded_date,reviewer_name,review_date,reviewer_text
Fujiyama Spectra,2023-11-10,Anonymous,29 Days ago,3.8Feature rich bike provides amazing riding experience
Fujiyama Spectra,2023-11-10,Anonymous,31 Days ago,3.0good comfort it have with wide seat
Fujiyama Ozone,2023-11-10,Sachin Hajela,19 Oct 2023,"4.4Scooter features are clean lines, smooth curves, streamlined silhouette, giving it a futuristic and eye-catching appearance. Body of the scooter is made from lightweight yet durable materials such as aluminum alloy or carbon fiber, ensuring both strength and agility."
Fujiyama Ozone,2023-11-10,Mohd shahid,19 Oct 2023,"4.4Handlebars of the scooter is ergonomically designed for optimal comfort and control.They are adjustable to accommodate riders of different heights and riding preferences. Controls are intuitive and user-friendly, allowing riders to easily navigate through various settings and modes."
Fujiyama Ozone,2023-11-10,Pavan,18 Oct 2023,"3.5It is the perfect choice for those looking for a comfortable, stress-free ride. It is a scooter that truly prioritizes rider comfort. Padded seat and adjustable suspension provide an exceptionally smooth ride, even on rough terrain. Handlebars are positioned just right for a comfortable grip."
Vegh S25,2023-11-10,Vivek kumar,18 Oct 2023,4.4
Vegh S25,2023-11-10,S B aarifa,18 Oct 2023,"4.4It is equipped with a disc brake system, anti-theft alarm, and LED front light to ensure total safety and comfort for you and your loved ones."
Vegh S60,2023-11-10,Satyabhama Dash,18 Oct 2023,4.4
Vegh S60,2023-11-10,Anisha,18 Oct 2023,"4.4It features three ride modes optimize the battery performance to suit the driving conditions. Be it city traffic or open town roads, it makes ride efficient, fun, and exciting. Get all vehicle information at a glance with the all-new Digital display."
Vegh L25,2023-11-10,Mularam,18 Oct 2023,4.4
Vegh L25,2023-11-10,Ranjeet Kumar,18 Oct 2023,"4.4It features anti-theft alarm system, eliminates the hassle of finding super safe spots for parking. It also features dual discs combine the reliability of disc brakes with the convenience and maneuverability."
